# 1D Heat Diffusion Solution
# Step:      200
# Time:     0.800000
x,u_numerical,u_analytical,error
  0.88000000,  0.34017337,  0.34017647, -3.093302E-06
  0.89000000,  0.31301803,  0.31302087, -2.846370E-06
  0.90000000,  0.28555377,  0.28555637, -2.596629E-06
  0.91000000,  0.25780770,  0.25781005, -2.344325E-06
  0.92000000,  0.22980721,  0.22980930, -2.089708E-06
  0.93000000,  0.20157993,  0.20158177, -1.833029E-06
  0.94000000,  0.17315372,  0.17315529, -1.574540E-06
  0.95000000,  0.14455662,  0.14455793, -1.314498E-06
  0.96000000,  0.11581686,  0.11581791, -1.053158E-06
  0.97000000,  0.08696280,  0.08696359, -7.907796E-07
  0.98000000,  0.05802292,  0.05802345, -5.276204E-07
  0.99000000,  0.02902578,  0.02902605, -2.639404E-07
  1.00000000,  0.00000000,  0.00000000, -1.131671E-16
